file,label,normalized_digits,template,label_pattern,bbox_left,bbox_top,bbox_width,bbox_height,canvas_width,canvas_height,font,font_source,split
train/000000.png,62-8398,628398,title_block,drawing_no,188,133,72,14,384,192,C:\Windows\Fonts\arialbd.ttf,windows-surrogate,train
train/000001.png,346.29,34629,horizontal_dimension,two_decimal,109,91,84,17,384,192,C:\Windows\Fonts\consolab.ttf,windows-surrogate,train
train/000002.png,60-9238,609238,leader_note,drawing_no,127,21,88,17,384,192,C:\Windows\Fonts\segoeui.ttf,windows-surrogate,train
train/000003.png,5.1,51,table_callout,one_decimal,121,66,29,16,384,192,C:\Windows\Fonts\segoeui.ttf,windows-surrogate,train
train/000004.png,21-3065,213065,title_block,drawing_no,160,151,84,13,384,192,C:\Windows\Fonts\cour.ttf,windows-surrogate,train
train/000005.png,2032/09/24,20320924,table_callout,date,89,76,144,20,384,192,C:\Windows\Fonts\arial.ttf,windows-surrogate,train
train/000006.png,22:121,22121,title_block,coordinate,176,111,72,14,384,192,C:\Windows\Fonts\consolab.ttf,windows-surrogate,train
train/000007.png,8/8,88,table_callout,sheet,141,88,42,19,384,192,C:\Windows\Fonts\courbd.ttf,windows-surrogate,train
train/000008.png,245.88,24588,leader_note,two_decimal,164,95,53,13,384,192,C:\Windows\Fonts\bahnschrift.ttf,windows-surrogate,train
train/000009.png,2026/02/05,20260205,leader_note,date,162,77,144,20,384,192,C:\Windows\Fonts\arialbd.ttf,windows-surrogate,train
train/000010.png,1/8,18,leader_note,sheet,190,23,37,27,384,192,C:\Windows\Fonts\bahnschrift.ttf,windows-surrogate,train
train/000011.png,66,66,leader_note,plain_mm,250,85,30,19,384,192,C:\Windows\Fonts\segoeui.ttf,windows-surrogate,train
train/000012.png,210,210,table_callout,plain_mm,161,84,51,22,384,192,C:\Windows\Fonts\arial.ttf,windows-surrogate,train
train/000013.png,4/4,44,title_block,sheet,167,121,30,15,384,192,C:\Windows\Fonts\arialbd.ttf,windows-surrogate,train
train/000014.png,2:2,22,title_block,scale,150,142,33,11,384,192,C:\Windows\Fonts\cour.ttf,windows-surrogate,train
train/000015.png,239.92,23992,table_callout,two_decimal,165,48,78,14,384,192,C:\Windows\Fonts\cour.ttf,windows-surrogate,train
train/000016.png,91-7653,917653,table_callout,drawing_no,245,128,91,14,384,192,C:\Windows\Fonts\cour.ttf,windows-surrogate,train
train/000017.png,489,489,horizontal_dimension,plain_mm,169,125,30,13,384,192,C:\Windows\Fonts\arial.ttf,windows-surrogate,train
train/000018.png,790,790,table_callout,plain_mm,44,64,36,16,384,192,C:\Windows\Fonts\segoeui.ttf,windows-surrogate,train
train/000019.png,"29,019",29019,title_block,mass,176,129,72,17,384,192,C:\Windows\Fonts\consola.ttf,windows-surrogate,train
train/000020.png,138.23,13823,horizontal_dimension,two_decimal,197,127,72,14,384,192,C:\Windows\Fonts\consola.ttf,windows-surrogate,train
train/000021.png,115.96-06,1159606,leader_note,tolerance_range,171,39,162,19,384,192,C:\Windows\Fonts\courbd.ttf,windows-surrogate,train
train/000022.png,5:20,520,table_callout,scale,253,130,68,20,384,192,C:\Windows\Fonts\consola.ttf,windows-surrogate,train
train/000023.png,83.51-07,835107,title_block,tolerance_range,199,145,128,16,384,192,C:\Windows\Fonts\courbd.ttf,windows-surrogate,train
train/000024.png,2032/08/10,20320810,table_callout,date,120,76,94,15,384,192,C:\Windows\Fonts\segoeui.ttf,windows-surrogate,train
train/000025.png,58.98-07,589807,title_block,tolerance_range,181,124,120,19,384,192,C:\Windows\Fonts\consola.ttf,windows-surrogate,train
train/000026.png,151.8,1518,leader_note,one_decimal,247,34,45,13,384,192,C:\Windows\Fonts\arial.ttf,windows-surrogate,train
train/000027.png,336,336,horizontal_dimension,plain_mm,130,111,33,15,384,192,C:\Windows\Fonts\arialbd.ttf,windows-surrogate,train
train/000028.png,708:544,708544,title_block,coordinate,151,140,98,15,384,192,C:\Windows\Fonts\cour.ttf,windows-surrogate,train
train/000029.png,32.41-01,324101,title_block,tolerance_range,188,154,72,13,384,192,C:\Windows\Fonts\segoeui.ttf,windows-surrogate,train
train/000030.png,154.82,15482,title_block,two_decimal,167,141,55,13,384,192,C:\Windows\Fonts\arialbd.ttf,windows-surrogate,train
train/000031.png,692:732,692732,leader_note,coordinate,130,25,98,16,384,192,C:\Windows\Fonts\consolab.ttf,windows-surrogate,train
train/000032.png,369:772,369772,title_block,coordinate,168,145,64,13,384,192,C:\Windows\Fonts\segoeui.ttf,windows-surrogate,train
train/000033.png,191.5,1915,leader_note,one_decimal,242,74,54,16,384,192,C:\Windows\Fonts\arial.ttf,windows-surrogate,train
train/000034.png,94-2842,942842,leader_note,drawing_no,176,113,112,16,384,192,C:\Windows\Fonts\courbd.ttf,windows-surrogate,train
train/000035.png,2027/12/17,20271217,leader_note,date,217,86,110,14,384,192,C:\Windows\Fonts\cour.ttf,windows-surrogate,train
train/000036.png,"58,379",58379,table_callout,mass,152,92,78,16,384,192,C:\Windows\Fonts\cour.ttf,windows-surrogate,train
train/000037.png,167.68-03,1676803,title_block,tolerance_range,174,138,144,17,384,192,C:\Windows\Fonts\cour.ttf,windows-surrogate,train
train/000038.png,"61,160",61160,table_callout,mass,179,52,78,19,384,192,C:\Windows\Fonts\consolab.ttf,windows-surrogate,train
